Country_std,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization
Netherlands,Netherlands,4554,57,37.6,3.4,Netherlands,NLD,2021,25.7,Netherlands,4554,66.4,26.9,6.7,Netherlands,2145,6.4,54.5,60.9,17.2,2.3,19.5,15.5,0.7,3.4,7.3,Netherlands,2145,40,26.46
New Zealand,New Zealand,1057,56.6,38.5,1.6,New Zealand,NZL,NA,NA,New Zealand,1057,50,38.9,11.1,New Zealand,1057,5,60.4,65.4,15,2.5,17.5,15,0,2.1,0,New Zealand,1057,39.7,NA
Nicaragua,Nicaragua,1200,4.2,95.8,0,Nicaragua,NIC,2014,46.2,Nicaragua,1200,10.8,89.2,0,Nicaragua,1200,14.3,52.5,66.8,23.1,10.1,33.2,0,0,0,0.9,Nicaragua,1200,37.4,60.82
Nigeria,Nigeria,1237,13,86.4,0.5,Nigeria,NGA,2022,33.9,Nigeria,1237,26.6,73.2,0.1,Nigeria,1237,5.5,51,56.5,31.7,9.1,40.8,2.6,0,0,0,Nigeria,1237,33.3,54.33
Pakistan,Pakistan,1995,23.3,75.9,0.8,Pakistan,PAK,2018,29.6,Pakistan,1995,34.2,64.6,1.2,Pakistan,1995,8.5,30.9,39.4,27,21.1,48.1,12.1,0.4,0,0,Pakistan,1995,12.4,51.410000000000004
Peru,Peru,1400,4.2,95.6,0.2,Peru,PER,2024,40.1,Peru,1400,9,90.4,0.5,Peru,1400,1.6,34,35.6,43.9,17.7,61.6,2.4,0.4,0,0,Peru,1400,39.4,67.71000000000001
Philippines,Philippines,1200,5.3,94.5,0,Philippines,PHL,2023,39.3,Philippines,1200,26.9,73.1,0,Philippines,1200,18.9,54.2,73.1,20.6,6.2,26.8,0.1,0,0,0,Philippines,1200,32.4,53.35
Romania,Romania,2873,12.1,86.2,1.4,Romania,ROU,2023,29.8,Romania,2873,11.8,85.1,3.1,Romania,1257,7.8,35.8,43.6,23.8,14.7,38.5,16.9,1,0,0,Romania,1257,32.7,54.75
Russia,Russia,3648,22.9,74.1,2.8,Russian Federation,RUS,2023,33,Russia,3648,22.1,75.6,2.3,Russia,1810,4.8,39.9,44.7,25,14.9,39.9,14.7,0.6,0,0.4,Russia,1810,18.1,51.809999999999995
Serbia,Serbia,2566,16.3,80.1,3.3,Serbia,SRB,2022,32.8,Serbia,2566,23.4,75,1.6,Serbia,1046,3.5,25.3,28.8,39.4,22.7,62.1,5.6,2.6,0.9,0,Serbia,1046,42.1,59.489999999999995
Singapore,Singapore,2012,34.4,64.9,0,Singapore,SGP,NA,NA,Singapore,2012,18,81.6,0.4,Singapore,2012,26.6,58.7,85.3,9.4,1.4,10.8,0,3.9,0,0,Singapore,2012,55.6,NA
South Korea,South Korea,1245,32.9,67.1,0,"Korea, Rep.",KOR,2021,32.9,South Korea,1245,17.5,82.5,0,South Korea,1245,3.5,54.4,57.9,32.9,9.2,42.1,0,0,0,0,South Korea,1245,15.7,52.42
Thailand,Thailand,1500,28.9,65.6,0,Thailand,THA,2023,33.5,Thailand,1500,27,72.2,0.8,Thailand,1500,14.4,53.1,67.5,26,3.6,29.6,2.9,0,0,0.6,Thailand,1500,49,46.49
Tunisia,Tunisia,1208,13.8,83.2,0,Tunisia,TUN,2021,33.7,Tunisia,1208,30.6,69,0.3,Tunisia,1208,5.5,38.5,44,32,20,52,2.9,0.2,0.9,0.7,Tunisia,1208,49.4,56.15
Ukraine,Ukraine,2901,28.4,68.1,3.2,Ukraine,UKR,2020,25.6,Ukraine,2901,23,71.3,5.7,Ukraine,1289,4.3,31.6,35.9,30.1,10.4,40.5,22.5,1.2,0,0,Ukraine,1289,39.4,47.709999999999994
United States,United States,2596,37,62.5,0,United States,USA,2023,41.8,United States,2596,39.5,60,0.6,United States,2596,4.7,55,59.7,30.3,8.7,39,0.1,1.3,0,0.2,United States,2596,47.8,48.739999999999995
Uruguay,Uruguay,1000,14.5,84.9,0.5,Uruguay,URY,2024,40,Uruguay,1000,22.4,75.5,2.1,Uruguay,1000,12.4,48.6,61,22.1,6.8,28.9,8.3,1.8,0,0,Uruguay,1000,54.9,52.75000000000001
Uzbekistan,Uzbekistan,1250,33.6,63.2,0,Uzbekistan,UZB,2024,34.6,Uzbekistan,1250,21.1,77.4,1.5,Uzbekistan,1250,28.8,39.4,68.2,13.3,4.4,17.7,0,11.2,2.9,0,Uzbekistan,1250,55.1,43.81000000000001
Vietnam,Vietnam,1200,27.7,72.3,0,Viet Nam,VNM,2022,36.1,Vietnam,1200,30.8,69.2,0,Vietnam,1200,6.8,75.2,82,6.9,1,7.9,8.5,1.6,0,0.2,Vietnam,1200,68.8,41.5
Zimbabwe,Zimbabwe,1215,2.1,97.8,0.1,Zimbabwe,ZWE,2019,50.3,Zimbabwe,1215,25.9,73.7,0.3,Zimbabwe,1215,17.9,42.2,60.1,25.2,7.9,33.1,6.5,0.2,0,0,Zimbabwe,1215,23.5,59.32
