country_name,country_id,year,v2x_libdem_x,v2x_polyarchy,libdem_0_100,polyarchy_0_100,key,v2x_libdem_y,v2x_libdem_2014,delta_libdem,delta_libdem_0_100,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Cambodia,55,2024,0.056,0.186,5.6000000000000005,18.6,cambodia,0.056,0.112,-0.056,-5.6000000000000005,21.33,22.67,24.5,21.4437426836662,31.51,61.72681372418795,,40.68476321358345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,56,2024,0.326,0.483,32.6,48.3,indonesia,0.326,0.517,-0.191,-19.1,26.33,27.5,30.33,44.8813034886441,79.45,66.29209457147545,,53.37225927987421,Indonesia,3200.0,4.6,95.3,0.0,Indonesia,IDN,2024.0,34.9,Indonesia,3200.0,9.3,90.6,0.1,Indonesia,3200.0,30.7,43.6,74.3,16.0,3.2,19.2,6.4,0.1,0.0,0.0,Indonesia,3200.0,35.8,46.03499999999999,Low Polarization
Mozambique,57,2024,0.171,0.304,17.1,30.4,mozambique,0.171,0.3,-0.1289999999999999,-12.899999999999997,,,,7.4630510423433,20.55,,,12.697830625405976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,58,2024,0.522,0.669,52.2,66.9,nepal,0.522,0.497,0.025,2.500000000000002,,,,21.2915596292014,21.92,,,21.54293577752084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,59,2024,0.019,0.153,1.9,15.3,nicaragua,0.019,0.126,-0.107,-10.7,,,,30.3635101318359,23.29,63.88617713610124,,49.90461134494751,Nicaragua,1200.0,4.2,95.8,0.0,Nicaragua,NIC,2014.0,46.2,Nicaragua,1200.0,10.8,89.2,0.0,Nicaragua,1200.0,14.3,52.5,66.8,23.1,10.1,33.2,0.0,0.0,0.0,0.9,Nicaragua,1200.0,37.4,54.89,High Polarization
Niger,60,2024,0.18,0.24,18.0,24.0,niger,0.18,0.492,-0.312,-31.2,,,,4.15170730347346,20.55,,6.0,9.36501741577434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,61,2024,0.392,0.51,39.2,51.0,zambia,0.392,0.384,0.008,0.8000000000000007,,,,3.96159738763825,41.1,64.5238108566079,,46.94425223198292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,62,2024,0.156,0.27,15.6,27.0,zimbabwe,0.156,0.209,-0.0529999999999999,-5.299999999999999,,,,7.74912957845971,27.4,62.29625822642223,,44.33980419590439,Zimbabwe,1215.0,2.1,97.8,0.1,Zimbabwe,ZWE,2019.0,50.3,Zimbabwe,1215.0,25.9,73.7,0.3,Zimbabwe,1215.0,17.9,42.2,60.1,25.2,7.9,33.1,6.5,0.2,0.0,0.0,Zimbabwe,1215.0,23.5,54.055,High Polarization
Guinea,63,2024,0.075,0.161,7.5,16.1,guinea,0.075,0.156,-0.081,-8.1,,,,10.8547201156616,50.68,,,26.784832069396963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,64,2024,0.251,0.432,25.1,43.2,ivory coast,0.251,0.32,-0.069,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
