Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Moldova,35,35.67,36,74.7109378669046,NA,NA,NA,50.10035170008922,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA
Nicaragua,NA,NA,NA,30.3635101318359,23.29,63.88617713610124,NA,49.90461134494751,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Slovakia,41,43.83,43.67,NA,69.86,NA,48,49.58000000000001,NA,TRUE,Enrollment|Media_Access,FALSE,NA
Nigeria,NA,NA,NA,9.74153350922586,36.99,67.56091688104499,NA,49.514764275079806,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Rwanda,NA,NA,NA,9.41173924647801,75.33999999999999,57.949767145104524,NA,49.424104223097714,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Albania,26.33,28,29.17,81.9986267089844,72.6,NA,32.8,49.412990010579435,NA,TRUE,Media_Access,FALSE,NA
Uzbekistan,22.5,27.17,25.67,56.517478700865,69.86,64.94859344356954,16.5,49.11005918255756,NA,FALSE,,FALSE,NA
Romania,38,37.83,37.83,55.1682891845703,68.49,NA,44,48.34540562947591,NA,TRUE,Media_Access,FALSE,NA
Maldives,NA,NA,NA,48.4968654322788,47.95,NA,NA,48.27811925936728,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Jordan,23.67,26.83,29,35.9184001120427,61.63999999999999,63.32364822220323,NA,48.025799228541885,NA,TRUE,IT,FALSE,NA
Peru,34.67,31.83,34.5,71.2404708862305,75.33999999999999,NA,18,47.56178438822429,NA,TRUE,Media_Access,FALSE,NA
Kuwait,NA,NA,NA,51.8967176944636,30.14,NA,58.2,47.48145044048441,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Bangladesh,NA,NA,NA,23.7295608009814,61.63999999999999,60.9073604052856,12.2,47.07517104301527,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Zambia,NA,NA,NA,3.96159738763825,41.099999999999994,64.5238108566079,NA,46.944252231982915,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
