Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i)
Laos,LAO,33.22,,,,,
Latvia,LVA,81.82,,21.7,,51.0,78.08
Lebanon,LBN,42.62,,16.25,73.66950948947388,,46.58
Lesotho,LSO,52.07,,,,6.3,20.549999999999997
Liberia,LBR,66.61,,,,,16.439999999999998
Libya,LBY,40.42,,16.95,65.2958733859513,,1.37
Liechtenstein,LIE,83.42,,,,,65.75
Lithuania,LTU,82.27,13.692000000000002,24.65,,56.3,83.56
Luxembourg,LUX,83.04,,,,56.3,63.01
,,,,,,42.0,
Macao SAR China,MAC,,16.117500000000003,,,,
,,,,35.9,,,
Madagascar,MDG,50.8,,,,,30.14
Malawi,MWI,59.2,,,51.95471096609499,,45.21
Malaysia,MYS,56.09,9.7995,17.25,81.93268591279914,62.8,69.86
Maldives,MDV,52.46,,18.05,,,47.949999999999996
Mali,MLI,48.23,,,,,27.400000000000002
Malta,MLT,62.96,12.591000000000001,,,65.0,73.97
,,,,,,,32.879999999999995
Mauritania,MRT,67.52,,,,,12.33
Mauritius,MUS,67.31,,,,30.3,41.099999999999994
Mexico,MEX,45.55,10.5325,11.8,76.1527352378011,37.8,73.97
,,,,,,,13.700000000000001
Moldova,MDA,73.36,10.5835,,,,
,,,,,,,15.07
Mongolia,MNG,52.57,9.567000000000002,26.55,,,78.08
Montenegro,MNE,72.83,10.234,28.450000000000003,,55.7,50.68
Morocco,MAR,48.04,7.375500000000001,22.3,78.44870141777577,30.8,43.84
Morocco / Western Sahara ,MAR,48.04,,,,,
Mozambique,MOZ,52.63,,,,,20.549999999999997
Myanmar,MMR,25.32,,28.2,,,16.439999999999998
Namibia,NAM,75.35,,,,,27.400000000000002
,,,,,,,23.29
Nepal,NPL,55.2,,,,,21.92
Netherlands,NLD,88.64,,61.7,,78.3,93.15
New Zealand,NZL,81.37,,53.3,,,93.15
Nicaragua,NIC,22.83,,7.5,63.88617713610124,,23.29
